"","self_choices"
"1",1
"2",1
"3",1
"4",0
"5",0
"6",1
"7",1
"8",1
"9",0
"10",1
"11",1
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",1
"19",1
"20",0
"21",1
"22",1
"23",0
"24",1
"25",1
"26",0
"27",1
"28",1
"29",1
"30",0
"31",1
"32",1
"33",1
"34",1
"35",1
"36",0
"37",0
"38",0
"39",1
"40",1
"41",1
"42",1
"43",1
"44",0
"45",0
"46",0
"47",1
"48",1
"49",1
"50",1
"51",0
"52",0
"53",0
"54",1
"55",1
"56",1
"57",0
"58",0
"59",1
"60",0
"61",1
"62",0
"63",1
"64",1
"65",1
"66",1
"67",1
"68",1
"69",0
"70",1
"71",0
"72",1
"73",0
"74",0
"75",0
"76",1
"77",1
"78",1
"79",1
"80",1
"81",0
"82",1
"83",0
"84",0
"85",1
"86",1
"87",1
"88",1
"89",0
"90",1
"91",1
"92",0
"93",1
"94",1
"95",0
"96",0
"97",1
"98",1
"99",0
"100",1
"101",1
"102",0
"103",0
"104",0
"105",0
"106",0
"107",1
"108",0
"109",0
"110",1
"111",1
"112",1
"113",0
"114",0
"115",0
"116",1
"117",0
"118",1
"119",0
"120",1
